"","","Compliance Rule","Enabled","Weight","Comments","Actions"
"AppService","9.1","Ensure App Service Authentication is set on Azure App Service (Scored)","Yes","3","","Audit"
"AppService","9.2","Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service (Scored)","Yes","3","","Audit"
"AppService","9.3","Ensure web app is using the latest version of TLS encryption (Scored)","Yes","3","","Audit"
"AppService","9.4","Ensure the web app has 'Client Certificates (Incoming client certificates)' set to 'On' (Scored)","Yes","3","","Audit"
"AppService","9.5","Ensure that Register with Azure Active Directory is enabled on App Service (Scored)","Yes","3","","Audit"
"AppService","9.6","Ensure that '.Net Framework' version is the latest, if used as a part of the web app (Scored)","Yes","0","","Audit"
"AppService","9.7","Ensure that 'PHP version' is the latest, if used to run the web app (Scored)","Yes","0","","Audit"
"AppService","9.8","Ensure that 'Python version' is the latest, if used to run the web app (Scored)","Yes","0","","Audit"
"AppService","9.9","Ensure that 'Java version' is the latest, if used to run the web app (Scored)","Yes","0","","Audit"
"AppService","9.10","Ensure that 'HTTP Version' is the latest, if used to run the web app (Scored)","Yes","3","","Audit"
"Database Services","4.1","Ensure that 'Auditing' is set to 'On' (Scored)","Yes","3","","Audit"
"Database Services","4.2","Ensure that 'AuditActionGroups' in 'auditing' policy for a SQL server is set properly (Scored)","Yes","3","","Audit"
"Database Services","4.3","Ensure that 'Auditing' Retention is 'greater than 90 days' (Scored)","Yes","3","","Audit"
"Database Services","4.4","Ensure that 'Advanced Data Security' on a SQL server is set to 'On' (Scored)","Yes","3","","Audit"
"Database Services","4.5","Ensure that 'Threat Detection types' is set to 'All' (Scored)","Yes","3","","Audit"
"Database Services","4.6","Ensure that 'Send alerts to' is set (Scored)","Yes","3","","Audit"
"Database Services","4.7","Ensure that 'Email service and co-administrators' is 'Enabled' (Scored)","Yes","3","","Audit"
"Database Services","4.8","Ensure that Azure Active Directory Admin is configured (Scored)","Yes","3","","Audit"
"Database Services","4.9","Ensure that 'Data encryption' is set to 'On' on a SQL Database (Scored)","Yes","3","","Audit"
"Database Services","4.10","Ensure SQL server's TDE protector is encrypted with BYOK (Use your own key) (Scored)","Yes","3","","Audit"
"Database Services","4.11","Ensure 'Enforce SSL connection' is set to 'ENABLED' for MySQL Database Server (Scored)","Yes","3","","Audit"
"Database Services","4.12","Ensure server parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server (Scored)","Yes","3","","Audit"
"Database Services","4.13","Ensure 'Enforce SSL connection' is set to 'ENABLED' for PostgreSQL Database Server (Scored)","Yes","3","","Audit"
"Database Services","4.14","Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server (Scored)","Yes","3","","Audit"
"Database Services","4.15","Ensure server parameter 'log_disconnections' is set to 'ON' for PostgreSQL Database Server             (Scored)","Yes","3","","Audit"
